"including gene_entityne","3","188","5","including_VBG gene_entityne_NN "
"inflammatory gene_entity","30","113","19055","inflammatory_JJ gene_entity_NN "
"task gene_entity","3","13","19055","task_NN gene_entity_NN "
"gene_entity similar","3","19055","231","gene_entity_NN similar_JJ "
"gene_entity long","5","19055","103","gene_entity_NN long_RB "
"binge gene_entity","5","7","19055","binge_NN gene_entity_NN "
"cosmid gene_entity","3","6","19055","cosmid_NN gene_entity_NN "
"gene_entity reproductive","3","19055","16","gene_entity_NN reproductive_JJ "
"gene_entity four","6","19055","216","gene_entity_NN four_CD "
"malignant gene_entity","10","34","19055","malignant_JJ gene_entity_NN "
"gene_entity 6cr","3","19055","3","gene_entity_NN 6cr_SYM "
"entomopathogenic gene_entity","3","3","19055","entomopathogenic_JJ gene_entity_NN "
"gene_entity cyclase","3","19055","9","gene_entity_NN cyclase_NN "
"gene_entity species","30","19055","111","gene_entity_NN species_NNS "
"involve gene_entity","3","23","19055","involve_VB gene_entity_NN "
"gene_entity given","7","19055","62","gene_entity_NN given_VBN "
"gene_entity sporulate","3","19055","3","gene_entity_NN sporulate_VBP "
"gene_entity pad1","4","19055","4","gene_entity_NN pad1_NN "
"gene_entity kinases","11","19055","66","gene_entity_NN kinases_NNS "
"lc gene_entity","4","20","19055","lc_NN gene_entity_NN "
"gene_entity who","64","19055","155","gene_entity_NN who_WP "
"however gene_entity","12","339","19055","however_RB gene_entity_NN "
"gene_entity oep","3","19055","11","gene_entity_NN oep_NN "
"perforated gene_entity","3","3","19055","perforated_JJ gene_entity_NN "
"rauscher gene_entity","4","4","19055","rauscher_NN gene_entity_NN "
"gene_entity biosynthetic","3","19055","7","gene_entity_NN biosynthetic_JJ "
"cold gene_entity","4","11","19055","cold_JJ gene_entity_NN "
"gene_entity solubility","3","19055","8","gene_entity_NN solubility_NN "
"gene_entity anesthesia","3","19055","5","gene_entity_NN anesthesia_NN "
"gene_entity properties","4","19055","76","gene_entity_NN properties_NNS "
"gene_entity gomphosphaeria","3","19055","3","gene_entity_NN gomphosphaeria_NNS "
"0.05 gene_entity","4","116","19055","0.05_CD gene_entity_NN "
"ubp5 gene_entity","4","4","19055","ubp5_NN gene_entity_NN "
"collected gene_entity","3","42","19055","collected_VBN gene_entity_NN "
"gene_entity derivatized","3","19055","3","gene_entity_NN derivatized_VBD "
"rescue gene_entity","3","10","19055","rescue_NN gene_entity_NN "
"ulmi gene_entity","3","8","19055","ulmi_NN gene_entity_NN "
"measure gene_entity","3","40","19055","measure_NN gene_entity_NN "
"gene_entity trop","3","19055","8","gene_entity_NN trop_FW "
"gene_entity induced","62","19055","508","gene_entity_NN induced_VBD "
"gene_entity saccharomyces","9","19055","42","gene_entity_NN saccharomyces_NNS "
"causes gene_entity","7","46","19055","causes_VBZ gene_entity_NN "
"pou gene_entity","3","36","19055","pou_NN gene_entity_NN "
"a60 gene_entity","3","6","19055","a60_NN gene_entity_NN "
"101 gene_entity","4","7","19055","101_CD gene_entity_NN "
"aminoethyl gene_entity","3","3","19055","aminoethyl_NN gene_entity_NN "
"gene_entity pathway","7","19055","160","gene_entity_NN pathway_NN "
"gene_entity acid","86","19055","233","gene_entity_NN acid_NN "
"gene_entity oligomeric","3","19055","9","gene_entity_NN oligomeric_JJ "
"gene_entity trna","5","19055","31","gene_entity_NN trna_NN "
"gene_entity wga","3","19055","7","gene_entity_NN wga_NN "
"uteri gene_entity","4","4","19055","uteri_NN gene_entity_NN "
"gene_entity insoluble","3","19055","7","gene_entity_NN insoluble_JJ "
"gene_entity induces","5","19055","41","gene_entity_NN induces_VBZ "
"wt gene_entity","3","23","19055","wt_JJ gene_entity_NN "
"gene_entity pastoris","3","19055","3","gene_entity_NN pastoris_NN "
"roka gene_entity","3","4","19055","roka_NN gene_entity_NN "
