"task gene_entity","3","13","19055","task_NN gene_entity_NN "
"gene_entity rev rre","3","19055","6","gene_entity_NN rev_NN rre_NN "
"gene_entity column chromatography","3","19055","40","gene_entity_NN column_NN chromatography_NN "
"four different gene_entity","4","216","19055","four_CD different_JJ gene_entity_NN "
"gene_entity responsive complex","4","19055","296","gene_entity_NN responsive_JJ complex_NN "
"gene_entity platelet derived","3","19055","156","gene_entity_NN platelet_NN derived_VBN "
"both adult gene_entity","3","756","19055","both_DT adult_JJ gene_entity_NN "
"r region gene_entity","3","126","19055","r_NN region_NN gene_entity_NN "
"gene_entity species","30","19055","111","gene_entity_NN species_NNS "
"involve gene_entity","3","23","19055","involve_VB gene_entity_NN "
"gene_entity given","7","19055","62","gene_entity_NN given_VBN "
"baseline gene_entity gene_entity","3","46","19055","baseline_NN gene_entity_NN gene_entity_NN "
"gene_entity kinases","11","19055","66","gene_entity_NN kinases_NNS "
"gene_entity helicoverpa gene_entity","3","19055","19055","gene_entity_NN helicoverpa_NN gene_entity_NN "
"dural opening gene_entity","3","3","19055","dural_JJ opening_NN gene_entity_NN "
"its gene_entity knuckle","3","423","8","its_PRP$ gene_entity_JJ knuckle_NN "
"gene_entity gene_entity stimulated","3","19055","140","gene_entity_NN gene_entity_NN stimulated_VBD "
"perforated gene_entity","3","3","19055","perforated_JJ gene_entity_NN "
"furthermore gene_entity did","3","121","247","furthermore_RB gene_entity_NN did_VBD "
"comparable transactivation gene_entity","3","50","19055","comparable_JJ transactivation_NN gene_entity_NN "
"additional gene_entity gene_entity","3","74","19055","additional_JJ gene_entity_NN gene_entity_NN "
"c gene_entity were","3","470","2516","c_NN gene_entity_NN were_VBD "
"heterochromic gene_entity fhc","3","3","8","heterochromic_JJ gene_entity_NN fhc_NN "
"diabetic gene_entity receiving","3","23","22","diabetic_JJ gene_entity_NN receiving_VBG "
"when acute gene_entity","3","368","19055","when_WRB acute_JJ gene_entity_NN "
"its gene_entity rich","3","423","84","its_PRP$ gene_entity_NN rich_JJ "
"gene_entity antiserum following","3","19055","148","gene_entity_NN antiserum_NN following_VBG "
"gene_entity gene_entity vaccinated","3","19055","31","gene_entity_NN gene_entity_NN vaccinated_VBN "
"gene_entity anesthesia","3","19055","5","gene_entity_NN anesthesia_NN "
"gene_entity properties","4","19055","76","gene_entity_NN properties_NNS "
"primary gene_entity lung","4","161","119","primary_JJ gene_entity_NN lung_NN "
"0.05 gene_entity","4","116","19055","0.05_CD gene_entity_NN "
"110 gene_entity aged","3","9","40","110_CD gene_entity_JJ aged_JJ "
"gene_entity species could","3","19055","228","gene_entity_NN species_NNS could_MD "
"collected gene_entity","3","42","19055","collected_VBN gene_entity_NN "
"15 included gene_entity","3","129","19055","15_CD included_VBD gene_entity_NN "
"rescue gene_entity","3","10","19055","rescue_NN gene_entity_NN "
"four gene_entity lines","3","216","179","four_CD gene_entity_NN lines_NNS "
"gene_entity prge_entity gene_entity","20","19055","19055","gene_entity_NN prge_entity_NN gene_entity_NN "
"gene_entity context because","3","19055","111","gene_entity_NN context_NN because_IN "
"gene_entity trop","3","19055","8","gene_entity_NN trop_FW "
"colon gene_entity cell","4","23","1350","colon_NN gene_entity_NN cell_NN "
"gene_entity spdp gene_entity","6","19055","19055","gene_entity_NN spdp_NN gene_entity_NN "
"gene_entity saccharomyces","9","19055","42","gene_entity_NN saccharomyces_NNS "
"stable phase gene_entity","3","70","19055","stable_JJ phase_NN gene_entity_NN "
"gene_entity tinman prge_entity","3","19055","17073","gene_entity_NN tinman_NN prge_entity_NN "
"developed nelson's gene_entity","3","122","19055","developed_VBN nelson's_NNPS gene_entity_NN "
"7 gene_entity acid","3","196","233","7_CD gene_entity_NN acid_NN "
"gene_entity oligomeric","3","19055","9","gene_entity_NN oligomeric_JJ "
"gene_entity trna","5","19055","31","gene_entity_NN trna_NN "
"27 gene_entity cell","3","56","1350","27_CD gene_entity_NN cell_NN "
"specific blocking gene_entity","3","609","19055","specific_JJ blocking_VBG gene_entity_NN "
"25 gene_entity who","3","97","155","25_CD gene_entity_NN who_WP "
"uteri gene_entity","4","4","19055","uteri_NN gene_entity_NN "
"ros gene_entity gene_entity","3","6","19055","ros_NN gene_entity_NN gene_entity_NN "
"roka gene_entity","3","4","19055","roka_NN gene_entity_NN "
"gene_entity gene_entity aegerita","3","19055","3","gene_entity_NN gene_entity_NN aegerita_NN "
"total gene_entity tc","4","161","9","total_JJ gene_entity_NN tc_NN "
"gene_entity chelated","3","19055","4","gene_entity_NN chelated_VBD "
"gene_entity kinase activity","3","19055","699","gene_entity_NN kinase_NN activity_NN "
"gene_entity sample","3","19055","33","gene_entity_NN sample_NN "
"gene_entity 19.1","3","19055","4","gene_entity_NN 19.1_CD "
"gene_entity 19.4","3","19055","3","gene_entity_NN 19.4_CD "
"between wildtype gene_entity","3","649","19055","between_IN wildtype_JJ gene_entity_NN "
"pc gene_entity","3","6","19055","pc_NN gene_entity_NN "
"gene_entity organs","4","19055","31","gene_entity_NN organs_NNS "
"gene_entity chelates","3","19055","3","gene_entity_NN chelates_NNS "
"respiratory gene_entity","6","35","19055","respiratory_JJ gene_entity_NN "
"gene_entity chain","7","19055","179","gene_entity_NN chain_NN "
"gene_entity were calculated","4","19055","34","gene_entity_NN were_VBD calculated_VBN "
"gene_entity serologically positive","3","19055","251","gene_entity_NN serologically_RB positive_JJ "
"t3 classified gene_entity","3","9","19055","t3_NN classified_VBD gene_entity_NN "
"third antibody gene_entity","3","64","19055","third_JJ antibody_NN gene_entity_NN "
"gene_entity organ","3","19055","39","gene_entity_NN organ_NN "
"sheared gene_entity","3","3","19055","sheared_VBN gene_entity_NN "
"gene_entity fortuitum","3","19055","3","gene_entity_NN fortuitum_NN "
"domain gene_entity","4","476","19055","domain_NN gene_entity_NN "
"756 gene_entity 777","3","3","3","756_CD gene_entity_NN 777_CD "
"tolerated gene_entity 3","3","14","591","tolerated_VBN gene_entity_NN 3_CD "
"although circulating gene_entity","3","197","19055","although_IN circulating_VBG gene_entity_NN "
"naive gene_entity cells","3","26","1983","naive_JJ gene_entity_NN cells_NNS "
"gene_entity controls","7","19055","156","gene_entity_NN controls_NNS "
"gene_entity prge_entity structures","3","19055","55","gene_entity_NN prge_entity_NN structures_NNS "
"gene_entity river","3","19055","3","gene_entity_NN river_NN "
"intrinsically radiolabeled gene_entity","3","4","19055","intrinsically_RB radiolabeled_VBN gene_entity_NN "
"unknown gene_entity has","3","52","506","unknown_JJ gene_entity_NN has_VBZ "
"day old gene_entity","8","150","19055","day_NN old_JJ gene_entity_NN "
"ii gene_entity gene_entity","7","215","19055","ii_LS gene_entity_NN gene_entity_NN "
"gene_entity jeg 3","3","19055","591","gene_entity_NN jeg_NN 3_CD "
"gene_entity kill","3","19055","7","gene_entity_NN kill_NN "
"migratory gene_entity","4","6","19055","migratory_JJ gene_entity_NN "
"glutaryl gene_entity","3","3","19055","glutaryl_NN gene_entity_NN "
"gene_entity phosphatases","3","19055","5","gene_entity_NN phosphatases_NNS "
