"cdna prge_entity","5","144","17073","cdna_NN prge_entity_NN "
"many prge_entity","4","95","17073","many_JJ prge_entity_NN "
"alkaliprge_entityosphatase prge_entity","3","3","17073","alkaliprge_entityosphatase_NN prge_entity_NN "
"prge_entity kd","3","17073","34","prge_entity_NN kd_NN "
"producers prge_entity","3","4","17073","producers_NNS prge_entity_VBP "
"prge_entity product","16","17073","59","prge_entity_NN product_NN "
"prge_entity cdc42p","3","17073","4","prge_entity_NN cdc42p_NN "
"2c prge_entity","3","7","17073","2c_NN prge_entity_NN "
"anchors prge_entity","3","4","17073","anchors_NNS prge_entity_NN "
"prge_entity jm","4","17073","6","prge_entity_NN jm_NN "
"prge_entity l1","6","17073","9","prge_entity_NN l1_NN "
"line prge_entity","6","138","17073","line_NN prge_entity_NN "
"accelerated prge_entity","4","11","17073","accelerated_VBN prge_entity_NN "
"prge_entity l2","3","17073","6","prge_entity_NN l2_NN "
"analyses prge_entity","3","83","17073","analyses_NNS prge_entity_NN "
"directed prge_entity","5","73","17073","directed_VBN prge_entity_NN "
"reductase prge_entity","3","7","17073","reductase_NN prge_entity_NN "
"cns prge_entity","3","16","17073","cns_NNS prge_entity_NN "
"after prge_entity","17","543","17073","after_IN prge_entity_NN "
"translation prge_entity","3","61","17073","translation_NN prge_entity_NN "
"prge_entity produce","4","17073","51","prge_entity_NN produce_VBP "
"prge_entity li","5","17073","11","prge_entity_NN li_NNS "
"proposed prge_entity","4","50","17073","proposed_VBN prge_entity_NN "
"prge_entity lf","3","17073","3","prge_entity_NN lf_NN "
"prge_entity m1","3","17073","10","prge_entity_NN m1_NN "
"prge_entity effector","3","17073","29","prge_entity_NN effector_NN "
"lmgn prge_entity","3","7","17073","lmgn_NN prge_entity_NN "
"sspl prge_entity","5","7","17073","sspl_NN prge_entity_NN "
"prge_entity reporter","48","17073","124","prge_entity_NN reporter_NN "
"prge_entity messenger","12","17073","21","prge_entity_NN messenger_NN "
"stress prge_entity","5","94","17073","stress_NN prge_entity_NN "
"prge_entity developed","3","17073","122","prge_entity_NN developed_VBD "
"electroretinogram prge_entity","3","3","17073","electroretinogram_NN prge_entity_NN "
"ald prge_entity","3","6","17073","ald_NN prge_entity_NN "
"composite prge_entity","3","11","17073","composite_JJ prge_entity_NN "
"cotransporter1 prge_entity","3","3","17073","cotransporter1_NN prge_entity_NN "
"prge_entity large","3","17073","109","prge_entity_NN large_JJ "
"unmethylated prge_entity","3","4","17073","unmethylated_JJ prge_entity_NN "
"igg prge_entity","5","60","17073","igg_NN prge_entity_NN "
"prge_entity dose","4","17073","129","prge_entity_NN dose_NN "
"945bp prge_entity","3","3","17073","945bp_NN prge_entity_NN "
"chain prge_entity","13","179","17073","chain_NN prge_entity_NN "
"employing prge_entity","3","15","17073","employing_VBG prge_entity_NN "
"reducing prge_entity","3","16","17073","reducing_VBG prge_entity_NN "
"prge_entity wherein","3","17073","4","prge_entity_NN wherein_WRB "
"prge_entity facilitated","3","17073","6","prge_entity_NN facilitated_VBD "
"prge_entity mg","3","17073","136","prge_entity_NN mg_NN "
"prge_entity frequencies","3","17073","18","prge_entity_NN frequencies_NNS "
"prge_entity prevented","7","17073","33","prge_entity_NN prevented_VBD "
