"prge_entity transactivation appears","3","17073","80","prge_entity_NN transactivation_NN appears_VBZ "
"cdna prge_entity","5","144","17073","cdna_NN prge_entity_NN "
"many prge_entity","4","95","17073","many_JJ prge_entity_NN "
"alkaliprge_entityosphatase prge_entity","3","3","17073","alkaliprge_entityosphatase_NN prge_entity_NN "
"other prge_entity molecule","3","473","72","other_JJ prge_entity_NN molecule_NN "
"prge_entity product","16","17073","59","prge_entity_NN product_NN "
"prge_entity cdc42p","3","17073","4","prge_entity_NN cdc42p_NN "
"36 prge_entity site","3","34","295","36_CD prge_entity_NN site_NN "
"purified cellular prge_entity","3","136","17073","purified_VBN cellular_JJ prge_entity_NN "
"accelerated prge_entity","4","11","17073","accelerated_VBN prge_entity_NN "
"homology protein prge_entity","3","16","17073","homology_NN protein_NN prge_entity_NN "
"cns prge_entity","3","16","17073","cns_NNS prge_entity_NN "
"after prge_entity","17","543","17073","after_IN prge_entity_NN "
"prge_entity brain derived","3","17073","156","prge_entity_NN brain_NN derived_VBN "
"prge_entity produce","4","17073","51","prge_entity_NN produce_VBP "
"helix per prge_entity","3","72","17073","helix_NN per_IN prge_entity_NN "
"contain prge_entity 1","3","78","876","contain_VBP prge_entity_NN 1_CD "
"acid prge_entity prge_entity","5","233","17073","acid_NN prge_entity_NN prge_entity_NN "
"prge_entity prge_entity recognition","3","17073","70","prge_entity_NN prge_entity_NN recognition_NN "
"prge_entity antiserum we","3","17073","1383","prge_entity_NN antiserum_NN we_PRP "
"gene_entity prge_entity gene_entity","20","19055","19055","gene_entity_NN prge_entity_NN gene_entity_NN "
"certain bacterial prge_entity","3","49","17073","certain_JJ bacterial_JJ prge_entity_NN "
"underlying prge_entity induced","3","29","508","underlying_VBG prge_entity_NN induced_VBD "
"prge_entity 2 message","3","17073","10","prge_entity_NN 2_CD message_NN "
"composite prge_entity","3","11","17073","composite_JJ prge_entity_NN "
"prge_entity protein tyrosine","4","17073","50","prge_entity_NN protein_NN tyrosine_NN "
"gene_entity tinman prge_entity","3","19055","17073","gene_entity_NN tinman_NN prge_entity_NN "
"prge_entity large","3","17073","109","prge_entity_NN large_JJ "
"unmethylated prge_entity","3","4","17073","unmethylated_JJ prge_entity_NN "
"203580 sensitive prge_entity","3","7","17073","203580_CD sensitive_JJ prge_entity_NN "
"prge_entityprge_entity","3","3","3","prge_entityprge_entity_NN "
"prge_entity factor kl","3","17073","13","prge_entity_NN factor_NN kl_NN "
"prge_entity 52 kda","3","17073","141","prge_entity_NN 52_CD kda_NN "
"gfp prge_entity protein","3","6","1286","gfp_NN prge_entity_NN protein_NN "
"prge_entity frequencies","3","17073","18","prge_entity_NN frequencies_NNS "
"proteins contain prge_entity","3","519","17073","proteins_NNS contain_VBP prge_entity_NN "
"dna prge_entity superfamily","3","197","25","dna_NN prge_entity_NN superfamily_NN "
"kos prge_entity prge_entity","3","3","17073","kos_NN prge_entity_NN prge_entity_NN "
"bacterial protein prge_entity","3","67","17073","bacterial_JJ protein_NN prge_entity_NN "
"prge_entity encoding all","3","17073","489","prge_entity_NN encoding_VBG all_DT "
"detected prge_entity protein","3","254","1286","detected_VBN prge_entity_NN protein_NN "
"prge_entity beta1 chain","3","17073","179","prge_entity_NN beta1_NN chain_NN "
"those same prge_entity","3","221","17073","those_DT same_JJ prge_entity_NN "
"ser thr prge_entity","3","20","17073","ser_NN thr_NN prge_entity_NN "
"transcribed prge_entity","6","36","17073","transcribed_VBN prge_entity_NN "
"healthy individuals prge_entity","3","118","17073","healthy_JJ individuals_NNS prge_entity_NN "
"prge_entity formerly known","3","17073","174","prge_entity_NN formerly_RB known_VBN "
"prge_entity substrate selectivity","3","17073","9","prge_entity_NN substrate_NN selectivity_NN "
"gene_entity prge_entity structures","3","19055","55","gene_entity_NN prge_entity_NN structures_NNS "
"protein filamin prge_entity","3","1286","17073","protein_NN filamin_NN prge_entity_NN "
"prge_entity narghji","3","17073","3","prge_entity_NN narghji_NNS "
"cellular target prge_entity","4","176","17073","cellular_JJ target_NN prge_entity_NN "
"prge_entity stimulating factor","3","17073","339","prge_entity_NN stimulating_NN factor_NN "
"prge_entity upon transposition","3","17073","4","prge_entity_NN upon_IN transposition_NN "
"inducing prge_entity prge_entity","4","28","17073","inducing_VBG prge_entity_NN prge_entity_NN "
"free prge_entity","14","103","17073","free_JJ prge_entity_NN "
"new prge_entity","15","150","17073","new_JJ prge_entity_NN "
"prge_entity syntprge_entity","3","17073","3","prge_entity_NN syntprge_entity_NN "
"lambdai prge_entity","3","12","17073","lambdai_NN prge_entity_NN "
"homologous prge_entity from","3","86","1718","homologous_JJ prge_entity_NN from_IN "
"prge_entity 1102 dqb1","3","17073","8","prge_entity_NN 1102_CD dqb1_NN "
"prge_entity 03 appears","3","17073","80","prge_entity_NN 03_NN appears_VBZ "
"phagocytic enzymes prge_entity","3","14","17073","phagocytic_JJ enzymes_NNS prge_entity_NN "
"prge_entity 19k function","3","17073","322","prge_entity_NN 19k_CD function_NN "
"prge_entity d208a","3","17073","4","prge_entity_NN d208a_NN "
"protein prge_entity contributes","3","1286","26","protein_NN prge_entity_NN contributes_VBZ "
"lymphocytes prge_entity t","3","185","667","lymphocytes_NNS prge_entity_NN t_NN "
"prge_entity anti hapten","3","17073","15","prge_entity_NN anti_JJ hapten_NN "
"prge_entity cdelta prge_entity","3","17073","17073","prge_entity_NN cdelta_NN prge_entity_NN "
"gag prge_entity gene_entity","3","9","19055","gag_NN prge_entity_NN gene_entity_NN "
"prge_entity total protein","3","17073","1286","prge_entity_NN total_JJ protein_NN "
"two tandem prge_entity","3","773","17073","two_CD tandem_JJ prge_entity_NN "
"canonical prge_entity prge_entity","3","7","17073","canonical_JJ prge_entity_NN prge_entity_NN "
"abundant prge_entity","4","17","17073","abundant_JJ prge_entity_NN "
"713 prge_entity","3","3","17073","713_CD prge_entity_NN "
"5 3 prge_entity","3","494","17073","5_CD 3_CD prge_entity_NN "
"cdk inhibitor prge_entity","4","11","17073","cdk_NN inhibitor_NN prge_entity_NN "
"1b 2 prge_entity","4","12","17073","1b_NN 2_CD prge_entity_NN "
"fluid prge_entity antineuronal","3","49","3","fluid_NN prge_entity_NN antineuronal_JJ "
"28 prge_entity reading","3","48","61","28_CD prge_entity_NN reading_NN "
"antibody prge_entity prge_entity","3","368","17073","antibody_NN prge_entity_NN prge_entity_NN "
"n prge_entity moreover","3","452","68","n_NN prge_entity_NN moreover_RB "
"prge_entity clones were","3","17073","2516","prge_entity_NN clones_NNS were_VBD "
"prge_entity mbmal1g","3","17073","4","prge_entity_NN mbmal1g_NN "
"prge_entity rptps comprise","3","17073","6","prge_entity_NN rptps_NNS comprise_VBP "
"reduced prge_entity induced","3","163","508","reduced_VBN prge_entity_NN induced_VBD "
"prge_entity functions either","3","17073","231","prge_entity_NN functions_NNS either_CC "
"type prge_entity leads","3","511","53","type_NN prge_entity_NN leads_VBZ "
"subtelomeric prge_entity","4","5","17073","subtelomeric_JJ prge_entity_NN "
"other prge_entity","28","473","17073","other_JJ prge_entity_NN "
"gene_entity encoded prge_entity","3","19055","17073","gene_entity_NN encoded_VBD prge_entity_NN "
"forkhead homologues prge_entity","3","5","17073","forkhead_NN homologues_NNS prge_entity_NN "
"yfhq prge_entity","3","6","17073","yfhq_NN prge_entity_NN "
"prge_entity null mutation","3","17073","191","prge_entity_NN null_NN mutation_NN "
"prge_entity illicits","3","17073","3","prge_entity_NN illicits_NNS "
"cat prge_entity constructs","3","49","56","cat_NN prge_entity_NN constructs_NNS "
"gene_entity prge_entity structural","3","19055","88","gene_entity_NN prge_entity_NN structural_JJ "
"prge_entity one","6","17073","464","prge_entity_NN one_CD "
"prge_entity dependent prge_entity","10","17073","17073","prge_entity_NN dependent_JJ prge_entity_NN "
